"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptpdc1",2.98279909600273e-12,-0.30368167428208,0.374,0.535,7.49547584834527e-08
"Fam131c",3.12352891411592e-12,0.283077589372749,0.778,0.821,7.84911580828189e-08
"Cacybp",3.2528789940005e-12,0.292182331968153,0.788,0.836,8.17415962402385e-08
"Klc1",3.27406086103334e-12,-0.386582106441746,0.453,0.653,8.22738753769067e-08
"Cmip",3.53792756541254e-12,-0.255088874245447,0.942,0.984,8.89045817912518e-08
"Spast",3.63577893667988e-12,-0.369377520663601,0.245,0.373,9.13634888998287e-08
"Lrba",3.85140012448437e-12,-0.433111265847265,0.484,0.688,9.67818337281676e-08
"Hint1",3.87060784819906e-12,0.406432216840078,0.995,0.997,9.72645046173941e-08
"Nob1",4.16460916003899e-12,-1.03941615060887,0.133,0.314,1.0465246358262e-07
"Galnt1",4.29478898286275e-12,-0.283883798755289,0.321,0.461,1.07923752350358e-07
"Dync1li2",4.29896556072046e-12,-0.321522800541835,0.395,0.56,1.08028705575344e-07
"Nptn",4.3064037444166e-12,0.287528873214556,0.589,0.629,1.08215619693445e-07
"Pik3c2a",4.41452844477376e-12,-0.632207972536143,0.23,0.398,1.1093268528872e-07
"Ndufa2",4.44446925376574e-12,0.381485339968381,0.863,0.886,1.11685067877879e-07
"Cox5a",4.66135419081595e-12,0.38898838544114,0.968,0.975,1.17135169461014e-07
"Hnrnpul2",4.88674366936584e-12,-0.356215207527746,0.471,0.673,1.22798981667494e-07
"Stam",4.89430265069619e-12,-0.415583705164193,0.217,0.336,1.22988931309344e-07
"Stxbp5l",5.58455519488678e-12,-0.271389209919149,0.501,0.676,1.4033428749231e-07
"Rps13",6.02139387813165e-12,0.353606585836848,0.992,0.992,1.5131160676357e-07
"Ndufb6",6.08363411475311e-12,0.288821727681147,0.673,0.715,1.52875641669631e-07
"A830018L16Rik",6.82374235878364e-12,-0.378609612766554,0.433,0.627,1.71473821733874e-07
"Pja2",7.2072176006802e-12,-0.338589319260544,0.433,0.618,1.81110171087493e-07
"Bsg",7.5472511068709e-12,0.383527262426661,0.918,0.941,1.89654873064559e-07
"Rpl32",7.73780248911843e-12,0.396234971845177,0.964,0.95,1.94443238749057e-07
"Atp6ap2",7.78700138621807e-12,0.253190699620792,0.567,0.627,1.95679557834274e-07
"Rims2",8.13351341839905e-12,-0.537645459093439,0.313,0.5,2.0438705869095e-07
"Rmnd5a",8.36451010417656e-12,-0.447638278033925,0.328,0.507,2.10191774407853e-07
"Actr1b",8.36915559423759e-12,-0.255769702424678,0.479,0.64,2.10308510927596e-07
"Slc6a6",8.4052872121428e-12,0.361442281008375,0.424,0.446,2.11216462353936e-07
"Lamp1",8.436787289564e-12,0.278522579257538,0.871,0.92,2.12008027799454e-07
"Usp3",8.74301599445288e-12,-0.269168321561202,0.411,0.562,2.19703248924606e-07
"Rhoa",8.93079401997419e-12,0.384362810012561,0.639,0.657,2.24421922927931e-07
"Dynlrb1",8.9895690277638e-12,0.330566142182117,0.76,0.797,2.25898880098677e-07
"Arfgef3",9.39466502194583e-12,-0.506211455930228,0.267,0.42,2.36078537336477e-07
"Cflar",9.39867944364295e-12,0.308387544549025,0.423,0.444,2.36179415739304e-07
"Senp5",9.83719531698086e-12,-0.765835158979791,0.196,0.365,2.47198881120412e-07
"Sod1",9.98890901332947e-12,-0.305620506335835,0.571,0.756,2.51011294595956e-07
"Soga3",1.14323197722971e-11,-0.319720045870655,0.446,0.632,2.87282763558055e-07
"Rps20",1.14873493748825e-11,0.372195810050269,0.942,0.932,2.88665602441421e-07
"Nfyb",1.14889141754659e-11,-0.357126350000878,0.248,0.37,2.88704924315282e-07
"Atf7ip",1.18961477865707e-11,-0.366354226283416,0.218,0.329,2.98938297728735e-07
"Sec61g",1.2174695712784e-11,0.55462554685931,0.687,0.639,3.0593792856655e-07
"Odf2",1.22232949157305e-11,-0.250608595181986,0.372,0.504,3.07159177937391e-07
"Mrfap1",1.23592119787164e-11,0.272247977952031,0.706,0.762,3.10574637813164e-07
"Lrrc6",1.24104262541565e-11,-0.385500446375524,0.212,0.322,3.11861601340699e-07
"Cdk13",1.26962492044651e-11,-0.327380475382411,0.286,0.422,3.19044046259003e-07
"Dcx",1.35600865218492e-11,-0.463271994502205,0.381,0.573,3.40751414207549e-07
"Rpl7a",1.39506682757574e-11,0.394020279955387,0.909,0.92,3.50566343101507e-07
"Sv2c",1.41856017432076e-11,-0.37579535582221,0.278,0.42,3.56469986205064e-07
"Lingo1",1.51076964406015e-11,-0.272192431460864,0.454,0.616,3.79641303855874e-07
"Rufy1",1.54441919449796e-11,-0.479913710021029,0.193,0.312,3.88097099385392e-07
"Ccdc88a",1.58565505836208e-11,-0.308569645423169,0.48,0.655,3.98459259615807e-07
"Cd9",1.61007394518605e-11,0.483243447746181,0.877,0.847,4.04595481685803e-07
"Aldoa",1.70364600987448e-11,0.373448972995345,0.945,0.96,4.28109205821358e-07
"Oga",1.80924281862111e-11,-0.412480549894768,0.356,0.534,4.54644627891298e-07
