"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007611","GO:0007611","learning or memory","8/146","357/28832",0.0224089635854342,4.42530984996738,4.64593777717951,0.000489467781085876,0.0168050604839484,0.0142727539489307,"Arl6ip5/Acss2/Nfix/D130043K22Rik/Vps13b/Ppt1/Atxn1/Fos",8
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","5/146","128/28832",0.0390625,7.71404109589041,5.4311156811514,0.000498958593713002,0.0168355511706266,0.0142986500811766,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","4/146","73/28832",0.0547945205479452,10.8207918934134,5.99366315446922,0.000523666812725218,0.0170802658750542,0.0145064894261951,"Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",4
"GO:0035176","GO:0035176","social behavior","4/146","73/28832",0.0547945205479452,10.8207918934134,5.99366315446922,0.000523666812725218,0.0170802658750542,0.0145064894261951,"Nfix/Negr1/Vps13b/Atxn1",4
"GO:0071276","GO:0071276","cellular response to cadmium ion","3/146","32/28832",0.09375,18.513698630137,7.07176632074739,0.000566488698548182,0.0181740718534228,0.0154354729078098,"Mt1/Mt2/Fos",3
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","4/146","76/28832",0.0526315789473684,10.393655371305,5.84990031523237,0.000610069829450656,0.0192565589715312,0.0163548431358673,"Nfix/Negr1/Vps13b/Atxn1",4
"GO:0017156","GO:0017156","calcium-ion regulated exocytosis","4/146","77/28832",0.051948051948052,10.2586728340153,5.80375002562234,0.000640988427714081,0.0199113389370866,0.0169109561797917,"Unc13c/Rims2/Rims1/Cdk5r2",4
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","7/146","287/28832",0.024390243902439,4.81657200133645,4.63575706175693,0.000672704309980574,0.0205700364786247,0.0174703964713705,"Ulk2/Rims2/Cttn/Nfix/D130043K22Rik/Ppp2r3a/Rims1",7
"GO:0098739","GO:0098739","import across plasma membrane","6/146","212/28832",0.0283018867924528,5.58904109589041,4.78438749480168,0.00075992657884583,0.0228796356123275,0.0194319687125112,"Arl6ip5/Cacna1d/Ppp3r1/Ppp3ca/Slc7a5/Cacna1b",6
"GO:0032252","GO:0032252","secretory granule localization","3/146","36/28832",0.0833333333333333,16.4566210045662,6.6201984772111,0.00080348455360912,0.0238245344153492,0.0202344834154514,"Unc13c/Rims1/Ppfia2",3
"GO:0014013","GO:0014013","regulation of gliogenesis","5/146","144/28832",0.0347222222222222,6.85692541856926,5.02657408256649,0.000850458547327867,0.0248410056286662,0.0210977854867353,"Rnf10/Rb1/Casz1/Slc7a5/Atxn1",5
"GO:0006904","GO:0006904","vesicle docking involved in exocytosis","3/146","39/28832",0.0769230769230769,15.190727081138,6.32651841477841,0.00101708957798905,0.0288470189003562,0.0245001440678065,"Unc13c/Rims2/Rims1",3
"GO:0031629","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane","3/146","39/28832",0.0769230769230769,15.190727081138,6.32651841477841,0.00101708957798905,0.0288470189003562,0.0245001440678065,"Rims2/Rims1/Cacna1b",3
"GO:0070509","GO:0070509","calcium ion import","4/146","88/28832",0.0454545454545455,8.97633872976339,5.34616805681243,0.00105808258276313,0.0295721588418418,0.0251160147439788,"Cacna1d/Ppp3r1/Ppp3ca/Cacna1b",4
"GO:0050890","GO:0050890","cognition","8/146","403/28832",0.0198511166253102,3.92018763384207,4.21166454488346,0.00107287852722063,0.0295721588418418,0.0251160147439788,"Arl6ip5/Acss2/Nfix/D130043K22Rik/Vps13b/Ppt1/Atxn1/Fos",8
"GO:0099500","GO:0099500","vesicle fusion to plasma membrane","3/146","40/28832",0.075,14.8109589041096,6.23575718405516,0.0010954989134239,0.029776269077369,0.0252893681914669,"Rims2/Rims1/Cacna1b",3
"GO:0097151","GO:0097151","positive regulation of inhibitory postsynaptic potential","2/146","10/28832",0.2,39.4958904109589,8.6860754269202,0.00111590287129153,0.0299153687550346,0.0254075073362556,"Rims2/Rims1",2
"GO:0099558","GO:0099558","maintenance of synapse structure","3/146","42/28832",0.0714285714285714,14.105675146771,6.06365516645427,0.00126353411653157,0.0334153549466526,0.028380090611712,"Dlg2/Rims2/Rims1",3
"GO:0048499","GO:0048499","synaptic vesicle membrane organization","3/146","43/28832",0.0697674418604651,13.7776361898694,5.98194947288963,0.00135329050961769,0.0345487768022529,0.0293427203672417,"Rims2/Rims1/Cacna1b",3
"GO:0061669","GO:0061669","spontaneous neurotransmitter secretion","2/146","11/28832",0.181818181818182,35.9053549190536,8.26047767994466,0.00135935401827975,0.0345487768022529,0.0293427203672417,"Rims2/Rims1",2
"GO:1990709","GO:1990709","presynaptic active zone organization","2/146","11/28832",0.181818181818182,35.9053549190536,8.26047767994466,0.00135935401827975,0.0345487768022529,0.0293427203672417,"Rims2/Rims1",2
"GO:1903305","GO:1903305","regulation of regulated secretory pathway","5/146","162/28832",0.0308641975308642,6.095044816506,4.63941212482482,0.001436671488559,0.0360457192706407,0.0306140928533693,"Cacna1d/Rims2/Rims1/Cdk5r2/Ppfia2",5
"GO:0031338","GO:0031338","regulation of vesicle fusion","3/146","45/28832",0.0666666666666667,13.165296803653,5.8264234652217,0.00154459775745954,0.038103009796468,0.0323613761496506,"Rims2/Rims1/Cacna1b",3
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","5/146","165/28832",0.0303030303030303,5.98422581984226,4.58057336497898,0.00155760898503702,0.038103009796468,0.0323613761496506,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","5/146","166/28832",0.0301204819277108,5.94817626671068,4.56128219287716,0.00159953699470635,0.0386456036869177,0.0328222081174962,"Dlg2/Ppp3r1/Nsg2/Ap2a2/Ap2b1",5
"GO:0099525","GO:0099525","presynaptic dense core vesicle exocytosis","2/146","12/28832",0.166666666666667,32.9132420091324,7.88834405418314,0.0016258122742875,0.038801397814398,0.0329545260731702,"Unc13c/Rims1",2
"GO:0042594","GO:0042594","response to starvation","6/146","247/28832",0.0242914979757085,4.79707170983307,4.27562355872883,0.00166300072246582,0.0392107519742844,0.0333021958246484,"Ulk2/Tnrc6a/Pik3c2a/Wdr45b/Slc7a5/Fos",6
